Timestamp,Direction,UDS Service,Payload/Data,Latency (ms)
01:27:10.455,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:10.551,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:10.661,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:10.758,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:10.867,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:10.963,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.073,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.169,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.280,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.375,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.485,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.581,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.691,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.787,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.897,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:11.993,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.103,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.199,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.309,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.405,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.515,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.611,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.721,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.817,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:12.927,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.023,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.133,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.229,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.339,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.435,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.545,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.641,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.751,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.847,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:13.957,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.053,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.163,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.259,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.369,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.465,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.575,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.671,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.781,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.877,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:14.987,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.083,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.193,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.289,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.399,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.495,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.605,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.701,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.811,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:15.907,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.017,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.113,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.223,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.319,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.429,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.525,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.635,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.731,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.841,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:16.937,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.047,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.143,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.253,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.349,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.459,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.555,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.665,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.761,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.871,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:17.967,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.077,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.173,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.283,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.379,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.489,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.585,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.695,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
01:27:18.791,Rx,0x22,02 FD 80 01 00 00 00 09 10 00 0E 80 62 01 01 00 06,---
